learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
49000.0,0.866918696,4.245029627316528E-9,49000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,49000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,0.878738942,4.3029096738580196E-9,50000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,50000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,0.892514606,4.370364790567093E-9,51000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,51000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,0.904604332,4.429564396358198E-9,52000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,52000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,0.916145468,4.486077728552951E-9,53000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,53000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,0.928951887,4.548786755738159E-9,54000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,54000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,0.940438743,4.605034295755128E-9,55000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,55000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,0.951999042,4.661641463165482E-9,56000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,56000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,0.96342763,4.717603683016367E-9,57000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,57000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,0.975221525,4.775354696955119E-9,58000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,58000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,0.986791616,4.832009812725915E-9,59000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,59000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,0.998541962,4.889547580836548E-9,60000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,60000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,1.012589333,4.958333161717488E-9,61000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,61000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62000.0,1.030385003,5.045472990096444E-9,62000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,62000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63000.0,1.043650503,5.110429993309081E-9,63000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,63000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64000.0,1.055208372,5.167025261769693E-9,64000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,64000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65000.0,1.070681336,5.242791525555982E-9,65000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,65000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66000.0,1.082505175,5.3006891658943565E-9,66000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,66000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67000.0,1.095899525,5.366277107244565E-9,67000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,67000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68000.0,1.107508258,5.4231214407997E-9,68000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,68000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69000.0,1.119060241,5.479687887359825E-9,69000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,69000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70000.0,1.130660306,5.536489776430859E-9,70000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,70000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71000.0,1.144220666,5.60289061681264E-9,71000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,71000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72000.0,1.155919216,5.660174756116337E-9,72000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,72000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73000.0,1.171711056,5.737502455910047E-9,73000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,73000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74000.0,1.183501202,5.795235112168722E-9,74000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,74000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75000.0,1.195298479,5.853002686703371E-9,75000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,75000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76000.0,1.207003477,5.910318399845726E-9,76000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,76000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77000.0,1.218851779,5.968335827841527E-9,77000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,77000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
