learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
51000.0,4.030460537,4.1934999096912435E-7,51000.0,0.9998249299719888,0.18764954249101573,0.9996,0.3331555081355964,0.9997749099639855,2499.0,0.4999749893704668,0.9998999599839936,0.9081081081081176,51000.0,633960.0,0.676454100661376,0.32354589933862404,51000.0,0.0,304488.0,428393.57231405796
52000.0,4.113116735,4.3422005150933855E-7,52000.0,0.9999876488969582,0.9336307270563086,0.9996,0.9640846524741226,0.9997749099639855,174.43859649122808,0.9732795801386573,0.9998994267323745,0.9243636363636444,52000.0,695408.0,0.676454100661376,0.32354589933862404,52000.0,0.0,335212.0,471843.8698044089
53000.0,4.195449029,4.492121192141353E-7,53000.0,0.999994995956733,0.9808366227717192,0.9996,0.989943644181997,0.9997749099639855,48.01960784313726,0.9925691594933791,0.999897917517354,0.9497630331753608,53000.0,703872.0,0.676454100661376,0.32354589933862404,53000.0,0.0,339444.0,477828.82160037186
54000.0,4.322789656,4.7293801149943846E-7,54000.0,0.9999954746376065,0.9856186798426098,0.9997,0.9924394932645973,0.9997749099639855,48.26108374384236,0.9950109129172617,0.9998979279371236,0.9616113744075873,54000.0,720208.0,0.676454100661376,0.32354589933862404,54000.0,0.0,347612.0,489380.1179778353
55000.0,4.437374239,4.943775712473815E-7,55000.0,0.999994469001519,0.9855500549301281,0.9996,0.9899436391254799,0.9997749099639855,48.26108374384236,0.994960125028965,0.9997958558742472,0.9478672985782048,55000.0,723256.0,0.652979775257421,0.347020224742579,55000.0,0.0,349136.0,491535.3794468919
56000.0,4.514868262,5.089441126793748E-7,56000.0,0.999994469001519,0.9855492371990648,0.9996,0.9899436391254799,0.9997749099639855,48.26108374384236,0.994960125028965,0.9997958558742472,0.9469194312796269,56000.0,726592.0,0.652979775257421,0.347020224742579,56000.0,0.0,350804.0,493894.28766893025
57000.0,4.61468115,5.290982324690414E-7,57000.0,0.997562550865925,0.9717672506554087,0.9994,0.9854755240794013,0.9997749099639855,46.39336492890995,0.9927133933931679,0.9996935335580754,0.9206496519721513,57000.0,780512.0,0.7611447212985463,0.2388552787014537,57000.0,0.0,377764.0,532021.4853105089
58000.0,4.776033925,5.637862334624306E-7,58000.0,0.9975463318678137,0.971701966786171,0.9993,0.9830939762388243,0.9997749099639855,46.39336492890995,0.9926626709961088,0.9995913780774338,0.9058004640371183,58000.0,831008.0,0.741466587043427,0.25853341295657295,58000.0,0.0,403012.0,567727.5493333047
59000.0,4.890252237,5.883411561783196E-7,59000.0,0.9975405220774455,0.9717069360547343,0.9993,0.9830939762388243,0.9997749099639855,46.39336492890995,0.9926626709961088,0.9995913780774338,0.9041763341067244,59000.0,831008.0,0.741466587043427,0.25853341295657295,59000.0,0.0,403012.0,567727.5493333047
60000.0,4.985684629,6.088722504611686E-7,60000.0,0.9975233577951433,0.9776852176437322,0.9995,0.9878114776876924,0.9997749099639855,46.84688995215311,0.9950513304666614,0.9996935961597385,0.9303944315545319,60000.0,831608.0,0.741466587043427,0.25853341295657295,60000.0,0.0,403312.0,568151.8134020166
61000.0,5.078374403,6.299401215101117E-7,61000.0,0.9975268738751885,0.9765558015456915,0.9995,0.9878681412536591,0.9975233577951433,46.61904761904762,0.9950742051566704,0.9996935648621041,0.9293981481481556,61000.0,878600.0,0.7611447212985464,0.2388552787014537,61000.0,0.0,426808.0,601380.1752635349
62000.0,5.180602082,6.532594759552264E-7,62000.0,0.9966832777796112,0.9721240304400133,0.9995,0.9838729862197911,0.9975233577951433,62.69426751592356,0.9934587278711712,0.9996952148735142,0.9282407407407488,62000.0,881760.0,0.7611447212985464,0.2388552787014537,62000.0,0.0,428388.0,603614.6326920844
63000.0,5.343553806,6.913739868277477E-7,63000.0,0.9606699379130783,0.5343691529162751,0.9992,0.7138851535006048,0.9975233577951433,713.2857142857143,0.8449849699487056,0.9995994392149009,0.8844036697247667,63000.0,904136.0,0.7797699378821314,0.22023006211786858,63000.0,0.0,439576.0,619436.8540279146
64000.0,5.498119691,7.286856878500743E-7,64000.0,0.9595648193184745,0.534723539021176,0.9992,0.7138851535006048,0.9975233577951433,713.2857142857143,0.8449849699487056,0.9995994392149009,0.8825688073394462,64000.0,933112.0,0.7797699378821314,0.22023006211786858,64000.0,0.0,454064.0,639925.980119576
65000.0,5.639303792,7.629090767918776E-7,65000.0,0.9592500929873251,0.5348691740259162,0.9993,0.7403907490097483,0.9975233577951433,713.2857142857143,0.8450272943229938,0.9996995794111756,0.8956422018348572,65000.0,937000.0,0.7797699378821314,0.22023006211786858,65000.0,0.0,456008.0,642675.2112848293
66000.0,5.759531525,7.924606596368986E-7,66000.0,0.9590390832880318,0.5349188099742233,0.9993,0.7403907490097483,0.9975233577951433,713.2857142857143,0.8450272943229938,0.9996995794111756,0.8940366972477014,66000.0,950120.0,0.7797699378821314,0.22023006211786858,66000.0,0.0,462568.0,651952.4522539969
67000.0,5.906353927,8.285491249846399E-7,67000.0,0.9911955977988994,0.48960952036020444,0.9996,0.599799899949947,0.9975233577951433,1999.0,0.774519166948104,0.999799899949975,0.9385321100917503,67000.0,950120.0,0.7797699378821314,0.22023006211786858,67000.0,0.0,462568.0,651952.4522539969
