learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
67000.0,5.872696998,8.12040686339442E-7,67000.0,0.9911955977988994,0.48960952036020444,0.9996,0.599799899949947,0.9975233577951433,1999.0,0.774519166948104,0.999799899949975,0.9385321100917503,67000.0,950128.0,0.7797699378821314,0.22023006211786858,67000.0,0.0,462568.0,651952.4522539969
68000.0,5.960502782,8.336232420741889E-7,68000.0,0.9921160580290145,0.48966106435070567,0.9997,0.666518452645616,0.9975233577951433,1999.0,0.774557919064154,0.9998999499749875,0.953211009174317,68000.0,950128.0,0.7797699378821314,0.22023006211786858,68000.0,0.0,462568.0,651952.4522539969
69000.0,6.073490157,8.626050532758545E-7,69000.0,0.9938528398450344,0.5893349595113484,0.9996,0.7140855741876829,0.9975233577951433,1427.5714285714287,0.8450696758686872,0.9997998599019313,0.9369863013698697,69000.0,991512.0,0.7973295310983515,0.20267046890164847,69000.0,0.0,483260.0,681215.3592866209
70000.0,6.206011186,8.967964590496072E-7,70000.0,0.9940100927792311,0.5893352383173258,0.9996,0.7140855741876829,0.9975233577951433,1427.5714285714287,0.8450696758686872,0.9997998599019313,0.9360730593607376,70000.0,997320.0,0.7973295310983515,0.20267046890164847,70000.0,0.0,486164.0,685322.2354717524
71000.0,6.353172115,9.352258743156617E-7,71000.0,0.9950250889908651,0.610889674641105,0.9996,0.7140855741876829,0.9940100927792311,1427.5714285714287,0.8450696758686872,0.9997998599019313,0.9353075170842897,71000.0,1009424.0,0.8138233266192538,0.18617667338074612,71000.0,0.0,492216.0,693881.0559512343
72000.0,6.505838203,9.75480580918702E-7,72000.0,0.9942531200411717,0.6108818508393813,0.9996,0.7140855741876829,0.9940100927792311,1427.5714285714287,0.8450696758686872,0.9997998599019313,0.9343963553530822,72000.0,1019240.0,0.8138233266192538,0.18617667338074612,72000.0,0.0,497124.0,700822.0161153615
73000.0,6.657495196,1.0156186134582075E-6,73000.0,0.9999333133273315,0.8577341322314512,0.9999,0.8570938607522384,0.9940100927792311,3332.3333333333335,0.9999499837446857,0.9998999699909973,0.9833712984054689,73000.0,1023048.0,0.8138233266192538,0.18617667338074612,73000.0,0.0,499028.0,703514.6787381199
74000.0,6.821685456,1.0590737411657039E-6,74000.0,0.9999333133273315,0.8577591206578639,0.9999,0.8570938607522384,0.9940100927792311,3332.3333333333335,0.9999499837446857,0.9998999699909973,0.9831435079726671,74000.0,1023048.0,0.8138233266192538,0.18617667338074612,74000.0,0.0,499028.0,703514.6787381199
75000.0,6.973567347,1.0992712959406402E-6,75000.0,0.9999333133273315,0.8577800885111554,0.9999,0.8570938607522384,0.9940100927792311,3332.3333333333335,0.9999499837446857,0.9998999699909973,0.9829157175398653,75000.0,1023048.0,0.8138233266192538,0.18617667338074612,75000.0,0.0,499028.0,703514.6787381199
76000.0,7.074463328,1.1261935921235115E-6,76000.0,0.9998999699909973,0.8577110084929644,0.9998,0.7499062148305761,0.9940100927792311,3332.3333333333335,0.9998999649874954,0.9997999399819946,0.9653758542141269,76000.0,1031432.0,0.7973295310983515,0.20267046890164847,76000.0,0.0,503220.0,709443.0619915879
